ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
1201-1800,15kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,580000,2,30,1201-1800 On Grid JA Solar China SMA Germany  No battery ,15kW On Grid | 30 solar panel- JA Solar China | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 2420000
1801-2400,20kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,2,40,1801-2400 On Grid JA Solar China SMA Germany  No battery ,20kW On Grid | 40 solar panel- JA Solar China | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 3240000
2401-3600,30kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,3,60,2401-3600 On Grid JA Solar China SMA Germany  No battery ,30kW On Grid | 60 solar panel- JA Solar China | 3 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 4860000
3601-4800,40kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,4,80,3601-4800 On Grid JA Solar China SMA Germany  No battery ,40kW On Grid | 80 solar panel- JA Solar China | 4 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 6480000
4801-6000,50kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,5,100,4801-6000 On Grid JA Solar China SMA Germany  No battery ,50kW On Grid | 100 solar panel- JA Solar China | 5 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 8100000
6001-7200,60kW,On Grid,JA Solar China,SMA Germany ,No battery ,0,780000,6,120,6001-7200 On Grid JA Solar China SMA Germany  No battery ,60kW On Grid | 120 solar panel- JA Solar China | 6 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 9720000
0-120,1kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,91000,1,2,0-120 On Grid JA Solar China CanadainSolar Canada No battery ,1kW On Grid | 2 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 175000
121-240,2kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,130000,1,4,121-240 On Grid JA Solar China CanadainSolar Canada No battery ,2kW On Grid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 298000
241-420,3.5kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,220000,1,7,241-420 On Grid JA Solar China CanadainSolar Canada No battery ,3.5kW On Grid | 7 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 514000
421-480,4kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,310000,1,8,421-480 On Grid JA Solar China CanadainSolar Canada No battery ,4kW On Grid | 8 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 646000
481-600,5kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,410000,1,10,481-600 On Grid JA Solar China CanadainSolar Canada No battery ,5kW On Grid | 10 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 830000
601-900,7.5kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,540000,1,17,601-900 On Grid JA Solar China CanadainSolar Canada No battery ,7.5kW On Grid | 17 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1254000
901-960,8kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,640000,1,18,901-960 On Grid JA Solar China CanadainSolar Canada No battery ,8kW On Grid | 18 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1396000
961-1200,10kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,1,20,961-1200 On Grid JA Solar China CanadainSolar Canada No battery ,10kW On Grid | 20 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1600000
1201-1800,15kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,540000,2,30,1201-1800 On Grid JA Solar China CanadainSolar Canada No battery ,15kW On Grid | 30 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 2340000
1801-2400,20kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,2,40,1801-2400 On Grid JA Solar China CanadainSolar Canada No battery ,20kW On Grid | 40 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 3200000
2401-3600,30kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,3,60,2401-3600 On Grid JA Solar China CanadainSolar Canada No battery ,30kW On Grid | 60 solar panel- JA Solar China | 3 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 4800000
3601-4800,40kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,4,80,3601-4800 On Grid JA Solar China CanadainSolar Canada No battery ,40kW On Grid | 80 solar panel- JA Solar China | 4 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 6400000
4801-6000,50kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,5,100,4801-6000 On Grid JA Solar China CanadainSolar Canada No battery ,50kW On Grid | 100 solar panel- JA Solar China | 5 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 8000000
6001-7200,60kW,On Grid,JA Solar China,CanadainSolar Canada,No battery ,0,760000,6,120,6001-7200 On Grid JA Solar China CanadainSolar Canada No battery ,60kW On Grid | 120 solar panel- JA Solar China | 6 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 9600000
0-120,1kW,On Grid,JA Solar China,Growatt China,No battery ,0,73000,1,2,0-120 On Grid JA Solar China Growatt China No battery ,1kW On Grid | 2 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 157000
121-240,2kW,On Grid,JA Solar China,Growatt China,No battery ,0,105000,1,4,121-240 On Grid JA Solar China Growatt China No battery ,2kW On Grid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 273000
241-420,3.5kW,On Grid,JA Solar China,Growatt China,No battery ,0,216000,1,7,241-420 On Grid JA Solar China Growatt China No battery ,3.5kW On Grid | 7 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 510000
421-480,4kW,On Grid,JA Solar China,Growatt China,No battery ,0,340000,1,8,421-480 On Grid JA Solar China Growatt China No battery ,4kW On Grid | 8 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 676000
481-600,5kW,On Grid,JA Solar China,Growatt China,No battery ,0,420000,1,10,481-600 On Grid JA Solar China Growatt China No battery ,5kW On Grid | 10 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 840000
601-900,7.5kW,On Grid,JA Solar China,Growatt China,No battery ,0,540000,1,17,601-900 On Grid JA Solar China Growatt China No battery ,7.5kW On Grid | 17 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1254000
901-960,8kW,On Grid,JA Solar China,Growatt China,No battery ,0,580000,1,18,901-960 On Grid JA Solar China Growatt China No battery ,8kW On Grid | 18 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1336000
961-1200,10kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,1,20,961-1200 On Grid JA Solar China Growatt China No battery ,10kW On Grid | 20 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 1470000
1201-1800,15kW,On Grid,JA Solar China,Growatt China,No battery ,0,580000,2,30,1201-1800 On Grid JA Solar China Growatt China No battery ,15kW On Grid | 30 solar panel- JA Solar China | 2 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 2420000
1801-2400,20kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,2,40,1801-2400 On Grid JA Solar China Growatt China No battery ,20kW On Grid | 40 solar panel- JA Solar China | 2 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 2940000
2401-3600,30kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,3,60,2401-3600 On Grid JA Solar China Growatt China No battery ,30kW On Grid | 60 solar panel- JA Solar China | 3 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 4410000
3601-4800,40kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,4,80,3601-4800 On Grid JA Solar China Growatt China No battery ,40kW On Grid | 80 solar panel- JA Solar China | 4 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 5880000
4801-6000,50kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,5,100,4801-6000 On Grid JA Solar China Growatt China No battery ,50kW On Grid | 100 solar panel- JA Solar China | 5 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 7350000
6001-7200,60kW,On Grid,JA Solar China,Growatt China,No battery ,0,630000,6,120,6001-7200 On Grid JA Solar China Growatt China No battery ,60kW On Grid | 120 solar panel- JA Solar China | 6 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 8820000
0-120,1kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,74000,1,2,0-120 On Grid Jinko Solar China Goodwee China No battery ,1kW On Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 166000
121-240,2kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,110000,1,4,121-240 On Grid Jinko Solar China Goodwee China No battery ,2kW On Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 294000
241-420,3.5kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,210000,1,7,241-420 On Grid Jinko Solar China Goodwee China No battery ,3.5kW On Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 532000
421-480,4kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,300000,1,8,421-480 On Grid Jinko Solar China Goodwee China No battery ,4kW On Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 668000
481-600,5kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,410000,1,10,481-600 On Grid Jinko Solar China Goodwee China No battery ,5kW On Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 870000
601-900,7.5kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,520000,1,17,601-900 On Grid Jinko Solar China Goodwee China No battery ,7.5kW On Grid | 17 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1302000
901-960,8kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,560000,1,18,901-960 On Grid Jinko Solar China Goodwee China No battery ,8kW On Grid | 18 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1388000
961-1200,10kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,1,20,961-1200 On Grid Jinko Solar China Goodwee China No battery ,10kW On Grid | 20 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 1540000
1201-1800,15kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,520000,2,30,1201-1800 On Grid Jinko Solar China Goodwee China No battery ,15kW On Grid | 30 solar panel- Jinko Solar China | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 2420000
1801-2400,20kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,2,40,1801-2400 On Grid Jinko Solar China Goodwee China No battery ,20kW On Grid | 40 solar panel- Jinko Solar China | 2 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 3080000
2401-3600,30kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,3,60,2401-3600 On Grid Jinko Solar China Goodwee China No battery ,30kW On Grid | 60 solar panel- Jinko Solar China | 3 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 4620000
3601-4800,40kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,4,80,3601-4800 On Grid Jinko Solar China Goodwee China No battery ,40kW On Grid | 80 solar panel- Jinko Solar China | 4 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 6160000
4801-6000,50kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,5,100,4801-6000 On Grid Jinko Solar China Goodwee China No battery ,50kW On Grid | 100 solar panel- Jinko Solar China | 5 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 7700000
6001-7200,60kW,On Grid,Jinko Solar China,Goodwee China,No battery ,0,620000,6,120,6001-7200 On Grid Jinko Solar China Goodwee China No battery ,60kW On Grid | 120 solar panel- Jinko Solar China | 6 Inverter - Goodwee China | Battery-  No battery  | Solar system cost Rs. 9240000
0-120,1kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,94000,1,2,0-120 On Grid Jinko Solar China SMA Germany  No battery ,1kW On Grid | 2 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 186000
121-240,2kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,140000,1,4,121-240 On Grid Jinko Solar China SMA Germany  No battery ,2kW On Grid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 324000
241-420,3.5kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,260000,1,7,241-420 On Grid Jinko Solar China SMA Germany  No battery ,3.5kW On Grid | 7 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 582000
421-480,4kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,370000,1,8,421-480 On Grid Jinko Solar China SMA Germany  No battery ,4kW On Grid | 8 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 738000
481-600,5kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,490000,1,10,481-600 On Grid Jinko Solar China SMA Germany  No battery ,5kW On Grid | 10 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 950000
601-900,7.5kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,580000,1,17,601-900 On Grid Jinko Solar China SMA Germany  No battery ,7.5kW On Grid | 17 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1362000
901-960,8kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,650000,1,18,901-960 On Grid Jinko Solar China SMA Germany  No battery ,8kW On Grid | 18 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1478000
961-1200,10kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,1,20,961-1200 On Grid Jinko Solar China SMA Germany  No battery ,10kW On Grid | 20 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 1700000
1201-1800,15kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,580000,2,30,1201-1800 On Grid Jinko Solar China SMA Germany  No battery ,15kW On Grid | 30 solar panel- Jinko Solar China | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 2540000
1801-2400,20kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,2,40,1801-2400 On Grid Jinko Solar China SMA Germany  No battery ,20kW On Grid | 40 solar panel- Jinko Solar China | 2 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 3400000
2401-3600,30kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,3,60,2401-3600 On Grid Jinko Solar China SMA Germany  No battery ,30kW On Grid | 60 solar panel- Jinko Solar China | 3 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 5100000
3601-4800,40kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,4,80,3601-4800 On Grid Jinko Solar China SMA Germany  No battery ,40kW On Grid | 80 solar panel- Jinko Solar China | 4 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 6800000
4801-6000,50kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,5,100,4801-6000 On Grid Jinko Solar China SMA Germany  No battery ,50kW On Grid | 100 solar panel- Jinko Solar China | 5 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 8500000
6001-7200,60kW,On Grid,Jinko Solar China,SMA Germany ,No battery ,0,780000,6,120,6001-7200 On Grid Jinko Solar China SMA Germany  No battery ,60kW On Grid | 120 solar panel- Jinko Solar China | 6 Inverter - SMA Germany  | Battery-  No battery  | Solar system cost Rs. 10200000
0-120,1kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,91000,1,2,0-120 On Grid Jinko Solar China CanadainSolar Canada No battery ,1kW On Grid | 2 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 183000
121-240,2kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,130000,1,4,121-240 On Grid Jinko Solar China CanadainSolar Canada No battery ,2kW On Grid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 314000
241-420,3.5kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,220000,1,7,241-420 On Grid Jinko Solar China CanadainSolar Canada No battery ,3.5kW On Grid | 7 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 542000
421-480,4kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,310000,1,8,421-480 On Grid Jinko Solar China CanadainSolar Canada No battery ,4kW On Grid | 8 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 678000
481-600,5kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,410000,1,10,481-600 On Grid Jinko Solar China CanadainSolar Canada No battery ,5kW On Grid | 10 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 870000
601-900,7.5kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,540000,1,17,601-900 On Grid Jinko Solar China CanadainSolar Canada No battery ,7.5kW On Grid | 17 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1322000
901-960,8kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,640000,1,18,901-960 On Grid Jinko Solar China CanadainSolar Canada No battery ,8kW On Grid | 18 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1468000
961-1200,10kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,1,20,961-1200 On Grid Jinko Solar China CanadainSolar Canada No battery ,10kW On Grid | 20 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 1680000
1201-1800,15kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,540000,2,30,1201-1800 On Grid Jinko Solar China CanadainSolar Canada No battery ,15kW On Grid | 30 solar panel- Jinko Solar China | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 2460000
1801-2400,20kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,2,40,1801-2400 On Grid Jinko Solar China CanadainSolar Canada No battery ,20kW On Grid | 40 solar panel- Jinko Solar China | 2 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 3360000
2401-3600,30kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,3,60,2401-3600 On Grid Jinko Solar China CanadainSolar Canada No battery ,30kW On Grid | 60 solar panel- Jinko Solar China | 3 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 5040000
3601-4800,40kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,4,80,3601-4800 On Grid Jinko Solar China CanadainSolar Canada No battery ,40kW On Grid | 80 solar panel- Jinko Solar China | 4 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 6720000
4801-6000,50kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,5,100,4801-6000 On Grid Jinko Solar China CanadainSolar Canada No battery ,50kW On Grid | 100 solar panel- Jinko Solar China | 5 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 8400000
6001-7200,60kW,On Grid,Jinko Solar China,CanadainSolar Canada,No battery ,0,760000,6,120,6001-7200 On Grid Jinko Solar China CanadainSolar Canada No battery ,60kW On Grid | 120 solar panel- Jinko Solar China | 6 Inverter - CanadainSolar Canada | Battery-  No battery  | Solar system cost Rs. 10080000
0-120,1kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,73000,1,2,0-120 On Grid Jinko Solar China Growatt China No battery ,1kW On Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 165000
121-240,2kW,On Grid,Jinko Solar China,Growatt China,No battery ,0,105000,1,4,121-240 On Grid Jinko Solar China Growatt China No battery ,2kW On Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  No battery  | Solar system cost Rs. 289000
